,StationId,StationName,Date,PM2.5,NOx,SO2,O3,Temp,RH,WS
0,TN002,"Manali Village, Chennai - TNPCB",2019-06-19,23.39,12.34,9.17,57.31,,,
1,TN002,"Manali Village, Chennai - TNPCB",2019-06-20,16.47,11.38,9.22,55.8,,,
2,TN002,"Manali Village, Chennai - TNPCB",2019-06-21,14.77,12.08,9.21,62.5,,,
3,TN002,"Manali Village, Chennai - TNPCB",2019-06-22,15.42,15.82,8.68,24.99,,,
4,TN002,"Manali Village, Chennai - TNPCB",2019-06-23,79.44,29.88,7.95,,,,
5,TN002,"Manali Village, Chennai - TNPCB",2019-06-24,10.96,7.37,8.58,9.28,,,
6,TN002,"Manali Village, Chennai - TNPCB",2019-06-25,20.42,12.27,9.0,4.71,,,
7,TN002,"Manali Village, Chennai - TNPCB",2019-06-26,,,,,,,
8,TN002,"Manali Village, Chennai - TNPCB",2019-06-27,,,,,,,
9,TN002,"Manali Village, Chennai - TNPCB",2019-06-28,,,,,,,
10,TN002,"Manali Village, Chennai - TNPCB",2019-06-29,,,,,,,
11,TN002,"Manali Village, Chennai - TNPCB",2019-06-30,,,,,,,
12,TN002,"Manali Village, Chennai - TNPCB",2019-07-01,,,,,,,
13,TN002,"Manali Village, Chennai - TNPCB",2019-07-02,,,,,,,
14,TN002,"Manali Village, Chennai - TNPCB",2019-07-03,,,,,,,
15,TN002,"Manali Village, Chennai - TNPCB",2019-07-04,,,,,,,
16,TN002,"Manali Village, Chennai - TNPCB",2019-07-05,,,,,,,
17,TN002,"Manali Village, Chennai - TNPCB",2019-07-06,,,,,,,
18,TN002,"Manali Village, Chennai - TNPCB",2019-07-07,,,,,,,
19,TN002,"Manali Village, Chennai - TNPCB",2019-07-08,,,,,,,
20,TN002,"Manali Village, Chennai - TNPCB",2019-07-09,,,,,,,
21,TN002,"Manali Village, Chennai - TNPCB",2019-07-10,,,,,,,
22,TN002,"Manali Village, Chennai - TNPCB",2019-07-11,,,,,,,
23,TN002,"Manali Village, Chennai - TNPCB",2019-07-12,,,,,,,
24,TN002,"Manali Village, Chennai - TNPCB",2019-07-13,,,,,,,
25,TN002,"Manali Village, Chennai - TNPCB",2019-07-14,,,,,,,
26,TN002,"Manali Village, Chennai - TNPCB",2019-07-15,,,,,,,
27,TN002,"Manali Village, Chennai - TNPCB",2019-07-16,,,,,,,
28,TN002,"Manali Village, Chennai - TNPCB",2019-07-17,,,,,,,
29,TN002,"Manali Village, Chennai - TNPCB",2019-07-18,,,,,,,
30,TN002,"Manali Village, Chennai - TNPCB",2019-07-19,27.51,11.14,9.47,30.08,,,
31,TN002,"Manali Village, Chennai - TNPCB",2019-07-20,24.21,12.22,9.5,22.79,,,
32,TN002,"Manali Village, Chennai - TNPCB",2019-07-21,21.88,16.82,9.49,23.94,,,
33,TN002,"Manali Village, Chennai - TNPCB",2019-07-22,19.16,14.64,9.43,44.36,,,
34,TN002,"Manali Village, Chennai - TNPCB",2019-07-23,20.58,12.42,9.24,25.61,,,
35,TN002,"Manali Village, Chennai - TNPCB",2019-07-24,19.62,19.93,9.33,28.63,,,
36,TN002,"Manali Village, Chennai - TNPCB",2019-07-25,21.54,23.03,9.28,22.74,,,
37,TN002,"Manali Village, Chennai - TNPCB",2019-07-26,19.0,18.5,9.28,19.98,,,
38,TN002,"Manali Village, Chennai - TNPCB",2019-07-27,22.31,18.57,9.46,30.49,,,
39,TN002,"Manali Village, Chennai - TNPCB",2019-07-28,28.84,15.14,9.58,77.28,,,
40,TN002,"Manali Village, Chennai - TNPCB",2019-07-29,18.73,18.38,9.55,74.23,,,
41,TN002,"Manali Village, Chennai - TNPCB",2019-07-30,33.38,17.62,9.7,79.8,,,
42,TN002,"Manali Village, Chennai - TNPCB",2019-07-31,23.26,14.34,9.72,118.63,,,
43,TN002,"Manali Village, Chennai - TNPCB",2019-08-01,23.66,14.33,9.76,125.03,,,
44,TN002,"Manali Village, Chennai - TNPCB",2019-08-02,29.51,15.85,9.71,123.34,,,
45,TN002,"Manali Village, Chennai - TNPCB",2019-08-03,17.52,15.89,9.85,117.54,,,
46,TN002,"Manali Village, Chennai - TNPCB",2019-08-04,20.68,15.33,9.57,128.06,,,
47,TN002,"Manali Village, Chennai - TNPCB",2019-08-05,9.32,9.45,9.14,89.95,,,
48,TN002,"Manali Village, Chennai - TNPCB",2019-08-06,13.09,14.58,9.42,98.53,,,
49,TN002,"Manali Village, Chennai - TNPCB",2019-08-07,16.52,14.1,9.28,80.26,,,
50,TN002,"Manali Village, Chennai - TNPCB",2019-08-08,14.55,16.56,9.11,89.69,,,
51,TN002,"Manali Village, Chennai - TNPCB",2019-08-09,17.32,23.46,8.91,67.45,,,
52,TN002,"Manali Village, Chennai - TNPCB",2019-08-10,18.18,18.99,9.62,91.63,,,
53,TN002,"Manali Village, Chennai - TNPCB",2019-08-11,17.8,13.01,10.18,123.36,,,
54,TN002,"Manali Village, Chennai - TNPCB",2019-08-12,21.65,13.71,9.95,134.22,,,
55,TN002,"Manali Village, Chennai - TNPCB",2019-08-13,30.1,15.94,9.48,130.85,,,
56,TN002,"Manali Village, Chennai - TNPCB",2019-08-14,23.56,14.8,9.34,129.64,,,
57,TN002,"Manali Village, Chennai - TNPCB",2019-08-15,19.29,13.16,9.11,113.98,,,
58,TN002,"Manali Village, Chennai - TNPCB",2019-08-16,25.4,13.44,9.13,74.64,,,
59,TN002,"Manali Village, Chennai - TNPCB",2019-08-17,15.3,24.41,8.85,67.54,,,
60,TN002,"Manali Village, Chennai - TNPCB",2019-08-18,16.79,19.22,8.92,77.45,,,
61,TN002,"Manali Village, Chennai - TNPCB",2019-08-19,21.19,17.99,9.0,46.2,,,
62,TN002,"Manali Village, Chennai - TNPCB",2019-08-20,,,,,,,
63,TN002,"Manali Village, Chennai - TNPCB",2019-08-21,21.63,19.96,8.91,52.96,,,
64,TN002,"Manali Village, Chennai - TNPCB",2019-08-22,12.32,15.73,9.1,80.9,,,
65,TN002,"Manali Village, Chennai - TNPCB",2019-08-23,39.49,12.59,9.56,87.38,,,
66,TN002,"Manali Village, Chennai - TNPCB",2019-08-24,10.19,19.98,9.24,67.05,,,
67,TN002,"Manali Village, Chennai - TNPCB",2019-08-25,16.69,12.91,8.92,44.75,,,
68,TN002,"Manali Village, Chennai - TNPCB",2019-08-26,15.89,12.99,9.11,64.55,,,
69,TN002,"Manali Village, Chennai - TNPCB",2019-08-27,9.33,12.97,9.52,94.84,,,
70,TN002,"Manali Village, Chennai - TNPCB",2019-08-28,16.13,15.05,9.65,159.7,,,
71,TN002,"Manali Village, Chennai - TNPCB",2019-08-29,18.02,15.91,9.39,112.85,,,
72,TN002,"Manali Village, Chennai - TNPCB",2019-08-30,21.72,21.32,9.66,145.05,,,
73,TN002,"Manali Village, Chennai - TNPCB",2019-08-31,22.06,13.92,9.12,145.57,,,
74,TN002,"Manali Village, Chennai - TNPCB",2019-09-01,22.34,14.2,9.12,128.73,,,
75,TN002,"Manali Village, Chennai - TNPCB",2019-09-02,23.54,13.35,9.24,134.75,,,
76,TN002,"Manali Village, Chennai - TNPCB",2019-09-03,13.92,17.19,9.3,130.46,,,
77,TN002,"Manali Village, Chennai - TNPCB",2019-09-04,18.36,18.96,9.38,139.51,,,
78,TN002,"Manali Village, Chennai - TNPCB",2019-09-05,9.11,18.9,9.1,114.28,,,
79,TN002,"Manali Village, Chennai - TNPCB",2019-09-06,14.98,19.78,9.37,91.1,,,
80,TN002,"Manali Village, Chennai - TNPCB",2019-09-07,19.28,15.96,9.54,106.62,,,
81,TN002,"Manali Village, Chennai - TNPCB",2019-09-08,,,,,,,
82,TN002,"Manali Village, Chennai - TNPCB",2019-09-09,19.52,15.04,9.35,116.48,,,
83,TN002,"Manali Village, Chennai - TNPCB",2019-09-10,25.52,10.81,9.68,153.32,,,
84,TN002,"Manali Village, Chennai - TNPCB",2019-09-11,21.26,13.22,9.47,139.67,,,
85,TN002,"Manali Village, Chennai - TNPCB",2019-09-12,16.95,12.12,9.46,117.75,,,
86,TN002,"Manali Village, Chennai - TNPCB",2019-09-13,24.17,13.74,9.8,119.37,,,
87,TN002,"Manali Village, Chennai - TNPCB",2019-09-14,23.74,12.59,9.54,113.36,,,
88,TN002,"Manali Village, Chennai - TNPCB",2019-09-15,20.14,10.5,9.34,122.1,,,
89,TN002,"Manali Village, Chennai - TNPCB",2019-09-16,20.39,12.52,9.79,116.76,,,
90,TN002,"Manali Village, Chennai - TNPCB",2019-09-17,16.01,12.61,9.55,115.79,,,
91,TN002,"Manali Village, Chennai - TNPCB",2019-09-18,20.29,14.69,9.54,128.38,,,
92,TN002,"Manali Village, Chennai - TNPCB",2019-09-19,13.02,17.68,9.36,111.82,,,
93,TN002,"Manali Village, Chennai - TNPCB",2019-09-20,21.38,15.35,9.47,135.39,,,
94,TN002,"Manali Village, Chennai - TNPCB",2019-09-21,32.75,18.72,9.46,121.38,,,
95,TN002,"Manali Village, Chennai - TNPCB",2019-09-22,49.66,19.69,9.49,143.31,,,
96,TN002,"Manali Village, Chennai - TNPCB",2019-09-23,56.21,15.8,10.84,164.33,,,
97,TN002,"Manali Village, Chennai - TNPCB",2019-09-24,34.83,13.54,9.54,129.66,,,
98,TN002,"Manali Village, Chennai - TNPCB",2019-09-25,15.23,18.08,9.6,85.92,,,
99,TN002,"Manali Village, Chennai - TNPCB",2019-09-26,10.19,14.21,9.53,117.71,,,
100,TN002,"Manali Village, Chennai - TNPCB",2019-09-27,14.15,13.93,9.79,127.61,,,
101,TN002,"Manali Village, Chennai - TNPCB",2019-09-28,16.96,14.6,9.76,122.38,,,
102,TN002,"Manali Village, Chennai - TNPCB",2019-09-29,19.62,13.15,9.74,129.67,,,
103,TN002,"Manali Village, Chennai - TNPCB",2019-09-30,18.71,12.5,9.75,122.88,,,
104,TN002,"Manali Village, Chennai - TNPCB",2019-10-01,27.36,15.7,9.51,142.3,,,
105,TN002,"Manali Village, Chennai - TNPCB",2019-10-02,24.71,13.49,9.57,148.48,,,
106,TN002,"Manali Village, Chennai - TNPCB",2019-10-03,13.83,12.52,9.61,143.92,,,
107,TN002,"Manali Village, Chennai - TNPCB",2019-10-04,10.06,16.28,9.76,141.17,,,
108,TN002,"Manali Village, Chennai - TNPCB",2019-10-05,18.24,13.8,9.97,134.25,,,
109,TN002,"Manali Village, Chennai - TNPCB",2019-10-06,13.21,12.46,9.57,133.28,,,
110,TN002,"Manali Village, Chennai - TNPCB",2019-10-07,19.94,11.34,9.82,137.2,,,
111,TN002,"Manali Village, Chennai - TNPCB",2019-10-08,21.95,12.22,9.7,135.45,,,
