,StationId,StationName,Date,PM2.5,NOx,SO2,O3,Temp,RH,WS
0,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-01,150.37,79.06,23.47,,,,
1,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-02,185.79,128.93,12.98,,,,
2,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-03,130.14,129.86,25.56,,,,
3,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-04,153.47,89.32,22.5,3.73,,,
4,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-05,189.63,105.76,20.99,30.11,,,
5,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-06,173.7,109.15,28.67,26.56,,,
6,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-07,147.96,77.98,27.4,41.07,,,
7,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-08,173.72,55.69,13.94,30.31,,,
8,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-09,232.76,81.44,17.28,36.3,,,
9,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-10,248.32,75.62,21.37,43.36,,,
10,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-11,191.44,86.77,17.95,24.33,,,
11,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-12,96.72,55.03,19.58,25.65,,,
12,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-13,119.12,137.12,18.82,29.78,,,
13,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-14,82.67,49.51,12.99,35.75,,,
14,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-15,98.04,61.72,20.25,41.74,,,
15,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-16,119.92,124.74,15.34,12.46,,,
16,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-17,159.41,128.07,27.34,36.14,,,
17,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-18,150.17,124.48,18.27,40.39,,,
18,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-19,182.82,113.05,15.2,37.69,,,
19,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-20,195.19,138.72,17.51,42.67,,,
20,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-21,169.37,67.11,10.03,13.99,,,
21,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-22,163.76,126.96,15.26,37.0,,,
22,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-23,140.91,109.56,8.31,47.07,,,
23,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-24,180.75,142.06,7.37,38.06,,,
24,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-25,121.0,220.93,24.49,41.52,,,
25,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-26,75.08,112.82,20.64,44.33,,,
26,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-27,92.67,85.53,17.56,37.24,,,
27,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-02-28,164.65,187.01,18.94,39.21,,,
28,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-01,123.22,174.76,25.19,36.44,,,
29,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-02,139.67,142.28,12.33,38.22,,,
30,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-03,115.59,101.79,22.96,33.72,,,
31,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-04,82.04,105.1,19.92,33.97,,,
32,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-05,82.95,117.93,18.85,35.95,,,
33,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-06,93.79,72.28,19.81,38.64,,,
34,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-07,106.68,102.18,19.16,33.77,,,
35,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-08,131.54,102.72,18.77,41.73,,,
36,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-09,139.83,128.86,20.9,45.74,,,
37,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-10,81.08,94.98,18.1,37.4,,,
38,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-11,105.5,102.0,22.63,45.97,,,
39,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-12,132.36,181.02,24.43,42.07,,,
40,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-13,118.83,155.56,18.31,40.85,,,
41,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-14,122.72,150.08,18.03,33.98,,,
42,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-15,109.23,119.32,18.88,31.82,,,
43,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-16,107.18,118.29,20.57,43.22,,,
44,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-17,126.48,79.68,29.01,35.34,,,
45,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-18,,71.04,13.67,79.93,,,
46,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-19,35.89,161.82,23.24,49.49,,,
47,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-20,75.22,124.56,29.49,76.76,,,
48,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-21,130.11,107.75,32.11,57.94,,,
49,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-22,76.3,55.95,28.2,57.04,,,
50,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-23,57.65,64.98,17.6,59.44,,,
51,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-24,73.59,68.78,16.01,56.04,,,
52,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-25,94.98,64.2,23.38,58.85,,,
53,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-26,84.86,89.78,20.82,58.55,,,
54,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-27,96.0,124.35,20.56,44.03,,,
55,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-28,98.91,78.71,12.94,52.98,,,
56,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-29,88.96,82.0,25.65,60.3,,,
57,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-30,90.54,94.45,19.45,61.11,,,
58,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-03-31,102.09,95.58,25.32,64.0,,,
59,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-04-01,70.39,9.53,2.22,7.88,,,
60,DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",2018-04-02,90.25,109.81,21.91,54.92,,,
