,StationId,StationName,Date,PM2.5,NOx,SO2,O3,Temp,RH,WS
0,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-06,,17.68,2.37,34.2,,,
1,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-07,,10.04,1.38,30.88,,,
2,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-08,19.21,19.57,1.11,10.04,,,
3,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-09,16.96,22.58,1.18,9.04,,,
4,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-10,23.17,38.25,1.49,8.26,,,
5,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-11,29.79,43.69,1.17,7.1,,,
6,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-12,27.45,40.92,1.03,5.68,,,
7,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-13,7.35,19.8,1.54,5.58,,,
8,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-14,22.92,29.22,1.5,5.35,,,
9,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-15,19.4,15.8,1.38,5.95,,,
10,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-16,21.92,15.46,1.54,10.03,,,
11,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-17,16.76,18.87,1.99,19.43,,,
12,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-18,14.41,13.32,2.13,32.18,,,
13,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-19,8.57,12.77,2.2,27.81,,,
14,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-20,15.66,39.35,1.97,29.22,,,
15,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-21,22.73,6.92,2.15,28.27,,,
16,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-22,22.47,14.72,1.7,20.98,,,
17,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-23,12.7,21.84,1.78,16.25,,,
18,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-24,13.37,25.3,1.53,12.9,,,
19,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-25,10.03,14.92,1.94,24.33,,,
20,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-26,8.28,13.8,2.12,31.05,,,
21,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-27,8.47,12.47,2.47,31.93,,,
22,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-28,14.49,18.02,1.98,26.36,,,
23,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-29,8.02,16.09,1.93,23.18,,,
24,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-30,12.56,14.01,1.56,19.9,,,
25,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-08-31,12.27,12.26,1.84,21.77,,,
26,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-01,21.8,21.91,1.96,22.98,,,
27,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-02,12.33,16.38,1.43,14.78,,,
28,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-03,6.25,16.44,1.89,16.95,,,
29,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-04,5.27,11.05,2.12,22.63,,,
30,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-05,5.27,14.22,2.04,26.82,,,
31,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-06,4.91,14.97,1.85,27.74,,,
32,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-07,5.93,15.95,2.03,26.05,,,
33,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-08,8.23,17.87,2.07,23.79,,,
34,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-09,13.49,18.39,2.18,33.52,,,
35,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-10,17.73,14.84,2.07,36.09,,,
36,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-11,12.18,19.63,2.2,24.42,,,
37,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-12,15.02,21.55,1.96,18.64,,,
38,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-13,8.44,18.49,2.38,29.37,,,
39,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-14,10.19,15.57,2.38,37.2,,,
40,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-15,13.48,15.99,2.63,40.01,,,
41,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-16,10.83,12.53,2.37,28.78,,,
42,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-17,8.14,10.76,2.24,20.69,,,
43,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-18,5.53,11.62,2.19,20.88,,,
44,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-19,4.22,11.17,2.13,17.78,,,
45,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-20,6.03,28.96,3.06,20.39,,,
46,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-21,12.74,31.44,4.76,18.84,,,
47,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-22,10.74,17.62,2.75,25.74,,,
48,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-23,6.94,11.35,3.0,30.09,,,
49,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-24,3.74,10.99,2.2,19.81,,,
50,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-25,4.5,19.9,1.82,12.37,,,
51,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-26,9.95,21.65,2.94,19.25,,,
52,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-27,9.62,23.7,3.85,15.94,,,
53,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-28,10.02,23.52,3.11,11.95,,,
54,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-29,7.98,18.48,3.26,17.83,,,
55,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-09-30,7.34,22.38,4.21,19.44,,,
56,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-01,20.61,32.0,5.84,23.17,,,
57,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-02,31.3,22.03,4.44,31.85,,,
58,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-03,21.51,30.4,3.98,20.58,,,
59,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-04,19.61,20.8,5.98,35.26,,,
60,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-05,23.52,34.64,3.85,28.29,,,
61,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-06,25.63,32.48,3.36,23.91,,,
62,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-07,23.04,31.57,3.9,28.13,,,
63,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-08,14.85,29.8,3.92,24.03,,,
64,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-09,2.82,14.56,3.37,23.1,,,
65,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-10,7.51,37.7,4.7,16.83,,,
66,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-11,9.45,48.72,5.7,22.3,,,
67,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-12,28.55,52.24,4.25,30.26,,,
68,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-13,49.58,46.63,6.36,24.2,,,
69,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-14,51.83,45.02,6.14,42.81,,,
70,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-15,44.3,43.08,6.01,44.56,,,
71,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-16,40.33,40.87,4.79,28.63,,,
72,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-17,33.02,51.5,4.58,19.79,,,
73,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-18,46.45,70.73,6.04,28.34,,,
74,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-19,45.73,45.32,3.58,30.18,,,
75,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-20,52.2,49.53,4.39,33.08,,,
76,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-21,77.87,49.36,6.12,33.89,,,
77,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-22,56.21,66.66,7.82,28.47,,,
78,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-23,61.56,53.61,5.22,27.05,,,
79,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-24,25.55,34.86,4.8,32.66,,,
80,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-25,10.38,28.75,4.57,28.3,,,
81,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-26,27.09,52.66,7.6,14.16,,,
82,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-27,116.64,69.71,12.03,24.88,,,
83,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-28,123.65,52.74,13.36,35.8,,,
84,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-29,115.23,72.92,11.76,30.98,,,
85,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-30,96.87,79.46,8.2,30.69,,,
86,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-10-31,125.14,98.47,10.0,28.96,,,
87,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-01,88.57,108.15,13.29,34.02,,,
88,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-02,64.87,84.32,11.86,28.48,,,
89,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-03,53.43,68.59,9.37,29.91,,,
90,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-04,57.01,102.1,10.83,30.53,,,
91,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-05,106.12,107.74,16.0,35.5,,,
92,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-06,145.61,101.94,12.31,40.24,,,
93,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-07,78.9,120.36,17.64,32.09,,,
94,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-08,69.3,48.22,7.79,31.36,,,
95,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-09,10.0,29.44,5.05,31.41,,,
96,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-10,9.25,36.67,6.55,35.81,,,
97,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-11,48.97,90.78,7.91,20.5,,,
98,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-12,71.35,166.0,14.22,33.56,,,
99,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-13,92.23,111.58,17.9,35.03,,,
100,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-14,72.03,114.25,14.06,30.38,,,
101,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-15,72.23,117.01,12.64,28.66,,,
102,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-16,78.6,90.55,14.04,35.88,,,
103,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-17,82.45,48.59,20.89,38.49,,,
104,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-18,83.88,40.84,18.75,39.12,,,
105,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-19,88.21,110.96,17.69,34.6,,,
106,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-20,85.49,186.5,15.72,31.71,,,
107,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-21,82.14,123.17,12.53,25.75,,,
108,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-22,69.96,101.33,14.35,35.6,,,
109,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-23,95.72,104.18,23.74,41.67,,,
110,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-24,96.03,108.13,17.56,45.24,,,
111,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-25,94.02,94.89,10.01,36.42,,,
112,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-26,95.98,173.28,7.79,33.21,,,
113,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-27,106.19,136.4,8.51,34.84,,,
114,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-28,67.87,80.44,9.05,34.59,,,
115,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-29,60.32,124.56,9.54,34.49,,,
116,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-11-30,96.51,161.49,16.9,26.94,,,
117,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-12-01,86.59,125.67,9.89,32.9,,,
118,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-12-02,76.3,123.72,10.58,25.88,,,
119,WB012,"Rabindra Sarobar, Kolkata - WBPCB",2019-12-03,80.17,123.86,13.61,29.74,,,
