,StationId,StationName,Date,PM2.5,NOx,SO2,O3,Temp,RH,WS
0,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-04,13.99,50.41,4.86,10.84,,,
1,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-05,,,,,,,
2,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-06,15.13,58.81,5.51,13.4,,,
3,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-07,13.47,63.67,5.98,10.99,,,
4,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-08,14.9,61.41,7.38,11.48,,,
5,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-09,15.77,47.14,7.21,14.29,,,
6,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-10,18.36,65.66,7.24,21.87,,,
7,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-11,18.96,72.09,7.2,41.38,,,
8,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-12,19.36,47.91,7.83,19.7,,,
9,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-13,17.28,48.04,8.68,14.17,,,
10,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-14,18.1,56.88,6.96,11.83,,,
11,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-15,17.02,58.72,6.48,11.34,,,
12,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-16,14.86,41.77,7.04,16.11,,,
13,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-17,14.78,34.5,7.37,16.42,,,
14,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-18,15.14,46.85,7.6,14.62,,,
15,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-19,18.42,60.73,8.23,9.26,,,
16,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-20,21.4,65.61,9.04,8.58,,,
17,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-21,20.06,57.12,8.94,9.41,,,
18,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",2019-06-22,23.72,68.2,9.27,9.4,,,
